Code,Description
21700231,Emunah Logistical Solutions
21137726,Ijubane Logistics
ZZZ00146,SRA Freight And Logistics
20765238,SRA Shipping CC
ZZZ00084,SRA Shipping CC
21936737,Durban Africa Container Depot
20249023,Protank (Pty) Ltd t/a Indian Ocean Terminals
20715936,Jupisey Global Cargo
00674832,Tall Ship (Pty) Ltd
20716347,Primo Expors
21441456,New Horizon Freight Solution
21929435,Shipchain
21905192,Aries Global Logistics
21871853,Epikaizo Packaging
21954857,Torre Logistics
21435910,Professional Central Management T/A The Pallet Sock Company
00861380,Randgest
20895278,JBN International Logistics
21926686,Vupat General Trading T/A Vupat Freight Forwarding
21964088,OC Lines
21707821,CLI Project Logistics
21976565,JSC Traders
20088745,Trans-Med Shipping
21544955,Van Global Logistics
21377233,Brunel Logistics Southern Africa
20810660,Modern Quest Trading
01854833,Oceanic Seagull Maritime
20430412,WILHEMSEN SHIPS SERVICES SOUTH AFRICA PTY LTD
21275601,World Transit Freight
00678404,Airwaves CC
00756015,Saxport Agencies Pty Ltd
00783648,Draple Pty Ltd
20887225,Sujee House of Import and Export CC
25305140,Kmohau Group
21140671,Afriguide Logistics
25275408,Natural Diversity
21268924,Inspiration Logistic Solutions
25236317,1UP Cargo
20850286,Zingela Forwarders
21411800,Vinonline Trading
21437891,Phinel Trading And Projects
00507704,Newsonic Airfreight
22010084,Impextastic
22031867,Zhijiang SA Logistic
25083038,Argo Freight
25038045,Into Africa Project Logistics
25312219,E-Stock Logsitics
25315811,Port Connect Worldwide
01815556,DSV Sky Services
21704822,Correlated Shipping
01644106,Value Logistics
25198453,Into Africa Clearing And Logistics
00375706,Santova Logistics 
25299909,Marinelink Freight Services
25329323,Vega Freight Forwarders
25248780,Lionhaul Thorne
25326006,Pato Enterprise
25232621,Freight Techniques (Pty) Ltd
21283514,Standout Logistics
21532338,MM Cargo Services
21527424,Freight Marine Ship Supply
25302087,The Mobility Group
20806990,Inter Link Trading 22
21875859,Total Logistics Solutions
20610108,Molelengoane Construction
21158667,Tshwele Pele Transport
25260835,Rasmein
25314459,Magna Customs Brokers
25039238,BIT 10GIC
20681009,Bradian Logistics
25236562,BK Naidoo
25223169,Freight First Services
21782419,Multiglobal Shipping
25134809,Global Shipping
00053592,PCA Logistics
20886075,RCJ Express
21548756,Silverblu Logistics
21353654,Global Maritime Legal Solutions
25307100,Acos Global Logistics
21972489,Bokamoso Global Freight And Transport
20714522,Blackie's Consultant
20533463,Blue Strata Supply Chain
01543173,Ngafe-Connection And Distribution
22016649,VRST Clearing South Africa
21629323,Arcoiris
25211057,Tgage Holdings
25343979,NZR Shongwe
22024004,Zarina M
25344711,Safrica Logistics
20728212,Grindrod Logistics Africa
25188505,Mlambo Clearing And Forwarding Logistics
25347605,Expac Forwarding
25193958,Rapple Logistics And Engineering
21738198,R2K Freight
22010810,Toptier Group
25269933,Rexco Distributors
21407588,Integrated Cargo Services
20934448,Alpha Shipping Agency
21854659,To Matter Group
25334253,Getshi Trading
21631068,Pro Africa Freight
25055223,Spectrum Consultancy
25345785,Inkunzi Worlwide Trading
25027311,CRSS Shipping
22014143,Kairos Freight Forwarding
25016000,Cargo Forwarding Solutions
21055796,Hipra Southern Africa
21583876,VFS Logistics
01862282,Africa Global Logistics South Africa (Pty) Ltd
25363048,Global Logistics Agencies South Africa
25357502,Sharaf Shipping Agency
21496892,K G AND R AGENCIES CC
21813573,CEBOLENKOSI HOLDINGS PTY LTD
25147144,VULULWANI CONSULTING (PTY) LTD
21725569,STERDTS PTY LTD
01790050,ARAMEX SOUTH AFRICA (PTY) LTD
25247075,JACARANDA FREIGHT AND SERVICES
25240518,MAKARAPA BUSINESS ENTERPRISE
25209045,KENNY CUSTOM CLEARING AGENT (PTY) LTD
25200951,JLOG INTERNATIONAL
25070288,KYH EXPRESS
21833289,BUFFALO INTERNATIONAL LOGISTICS (PTY) LTD
25221698,SIDNEY Z
21963545,DKI GLOBAL (PTY) LTD
25110111,HERON METALS
25250342,TSHEPO MLONDI MBUYAZI
25150918,LLMG ENTERPRISE
25267716,MOLETE IMPORT AND EXPORT
25233717,ENVIRO GAS ENERGY
25337287,CARGOBROKERTRUCKSOLUTIONS
20085045,FRAPEJA BK
01791219,NATAL ENERGY RESOURCES AND COMMODITIES (PTY) LTD
25378680,JILLY MAN TRADING ENTERPRISE
25378478,APS Logistics
21601587,Dynamic Freight Logistics
22002835,UFS Africa
25230165,International Procurement And Logistics Services
25056548,Strong Cargo Hold Imports
25378990,Seax Logistics
25127536,KZN Logistics And Stevedores
21342629,Outsourced Procurement And Logistics
25386623,Lud International
25389193,Dakora Capital (Pty) Ltd
25219228,Subete
25300505,Micfam Investments
ZZZ00050,Boyd Boss Freight Management
01891425,International Trade & Transport Agents
25371708,Tunnage
21818192,Xenotha Trading (PTY) Ltd
25394528,Symphony Forwarding
25313908,Afriguide Logistics CC
01526920,Trademore (Pty) Ltd
25406377,Symphony Forwarding SA
25411607,RSG Shipping
25412360,Cross Trade Ocean Lines NVOCC
25401424,Connect Freight Logistics
25275483,AsiaDirect-Africa
25134965,The Hydrocarbon Group
01652124,Bottom Line Solutions
25190878,GI Freight Services
25414525,Wonder Weave
25162273,Polaris Freight Services
25308271,Mohzu Trading
20613204,CH Logistics
25385074,J Van Greunen
25433177,Shipping And Freight Resource
MAEU,MAEU
20797129,Razzmatazz Costume Hire
21854411,DMD Logistics Group
25368635,F Q Manufacturers
21504604,Haval Motors South Africa
01290516,K and N Freight Transport
21996246,Cabcorp
00816622,Etlin International
21980901,Ubuntu Shipping
21985962,MLP Holdings
00638104,Impro Technologies
20063566,Shilo Freight and Logistics
25435822,RKMS
25437795,Fenice Forwarding Company
21012187,Oxi Logistics
21324517,Indo Japan Clearing and Forwarding Agency CC
21046356,Fair Golden Fresh Products CC
00344757,Richards Bay Coal Terminal
21406018,Safs Trading
01165170,Pelican Freight International CC
25433102,Matala Cargo Express
25335566,Catochelo Investment Holdings
21656921,Harmia Trading CC
00496462,Transea Shipping Services
01886066,Ace Fire Suppression Technologies
22018617,Damons Manufacturing and Import
25395028,Milalekwa
25456224,Consecutive Trading cc
25447919,C and F Clearing and Forwarding
25453268,B Global Agencies
25442542,Cross Shipping (PTY) LTD
20950627,Silver Freight and Logistics CC
25328227,Afrique Infinity
25438643,Alpha Ess South Africa
25440000,AAI SA (PTY) LTD
01870950,Sceptre Fishing
25458979,Union Shipping Agency
21369118,Mark Shipping
25294222,Melor Imports and Exports
01718470,Shipping Services Unltd
21847203,The Billion Company
22003009,Tranzaction Trade Facilitation
25051120,Fusion Power Boats
25460298,Union GSA
20507007,Zwanzi Imports And Exports CC
20269812,Kromberg and Schubert Eastern Cape
25074471,M Joubert
