Code,Description
72007763,Diesel Doctor Trucks
72007755,Glomark Transport
20081902,African Supply Solutions
72007781,SA Monster Trucks Promotions
21736608,Mohammed Asif Alli T/A Asif and Omar Logistics
21592513,Djm Logistics Net
72007941,Amaradah Logistics
72007951,Shando Ka Ndaba Business Enterprises
21137726,Ijubane Logistics
21646862,Globo Clearing
21950695,Estafin
FH001184,Timberland Services Pty Ltd
FH001185,Ngubs Delight Logistics
72007968,Henque 2322
21195976,Metier Mixed Concrete Distributors
FH001187,Dudas Investments Pty Ltd
21943104,Bakku Trading
FH001186,Kwalela Investments Pty Ltd
21922982,Naledi Clearing Agency
21864238,Artic Tern Logistics
21946413,Nhlanhla Trading
21461967,Euphrates Trucking
21837772,Moshokwa Logistics And Cargo Clearing Agent
21919923,Intermarine Roy Shipping And Logistics
21945395,Spring Lights 1357
21932766,CCTM Trading (Pty) Ltd
21441456,New Horizon Freight Solution
21948351,APT Projects And Consulting
72007984,Hudson Noble Logistics
21449066,Lucid Freight Solutions Pty Ltd
72007976,Greta International Transport
21614440,Jonah Trading
21876022,Easywork Enterprise
72007992,SuperChin Trucking
20103589,All Trans Logistics
21651652,Lone Star Transport
21161373,CP Crane Hire
01786542,Das Commodities
20259159,Mkhulu Electro Distribution Projects
20728662,Gonga-Grey Trading Enterprise
FH001191,K Mutawu Trading Pvt Ltd
20000426,Eddie'S International Removals
FH001189,Miravana Enterprises
FH001188,Coimbra Investments
FH001190,Survival Hardware Pty Ltd
21949595,Freeway Import Export Consultant
21923636,TTH Clearing Agent (Pty) Ltd
FH001192,Optional Air (PVT) Ltd
FH001194,Toppick Investments (PVT) Ltd
FH001193,Driverite Enterprises T/A Chidavaenzi Transport
21956337,Andileo Trading Enterprise
21953907,Bampoen Trading
21905192,Aries Global Logistics
01776521,Dpd Laser Express Logistics
21598015,Oglander Enterprises (Pty)Ltd
21544408,Reliant Freight And Logistics
21875530,Evocom Xpress
21937644,Gad Trucking
21769465,Pinpoint Freight Logistics
21965661,Shuping And Kopano Trans (Pty) Ltd
21891335,Bouvest 2285
72008034,East Of Eden Trading 848
72008018,Gachie Engineering And Logistics
21942108,Megmill Holdings
21958782,SA Integral Transport
20066093,Muller-Steel Hauliers
21970710,Ihaul
21658576,LMC Care Products
72008042,Komansi Trading
21530912,Heavy Hook Logistics
21881203,Trans Kalahari Logistics South Africa
21871853,Epikaizo Packaging
21083584,ZB Transport
21891941,Tairowanga Holdings
72008050,TNK Management
21435910,Professional Central Management T/A The Pallet Sock Company
21971275,Gambinosquared Holdings
21647775,Phlasini Transport
21424138,Mindset Trading 36
FH001196,Barron Logistics and Trasport
FH001195,Soyi Investments Limited
FH001197,Hyrit Quality Suppliers Limited
00861380,Randgest
21904269,CJB Logistics
72008001,Top Breakdowns Vryburg
21974945,T And J Courage Solutions And Services
72008069,C R Visser Transport
21950865,DDT Engineering And Logistics
21587744,Stormant Logistics
72008077,Shepherds Africa Logistics
72008085,Eastern Lions
FH001198,Budget Logistics Ltd
21926686,Vupat General Trading T/A Vupat Freight Forwarding
21971911,Edgeway Superstore
21955519,Bradron Logistics
21881823,Dazzling Mobility
72008115,DMR Blessed Investments
21880507,Jaicubed Freight
21940644,DRL Holdings
21800960,Dolano
72008093,Mobile Freight Solutions
21707821,CLI Project Logistics
21976565,JSC Traders
72008107,Eicker Transport
72008026,Stormant Logistics
21977596,Hotalot Operations SA
72008123,Promar Trucking
FH001199,Armstrong Wise Logistics (Private) Limited
FH001200,Harbner Enterprises (Private) Limited
01390358,Snyman Transport SA
21975836,Fescolly Trading
72008131,Ruah Transport
20940986,Eagles Pride Hatchery
21152154,High Point Trading 258
21829037,Coastal Maritime Development
20088745,Trans-Med Shipping
21982742,Vipend (ty) Ltd
72008141,Belogix
72008158,U Freight
20810660,Modern Quest Trading
20617757,Super Group Africa
21982998,Aayaan Traders
FH001202,Forshan Trading Limited
21377233,Brunel Logistics Southern Africa
FH001203,Standard Sales Co. Ltd
21931387,Imperial Logistics Advance
21983617,Saurombe Logistics And Consulting
21971261,Bark Shipping
72008174,Musonza Freight And Logistics
FH001204,Startget Enterprises Private Limited
21952811,Sanbonani Transport And Trading
21980901,Ubuntu Shipping
21988848,Eaglestar Freight And Logistics
21980855,Leading Prospect Trading 141
21687565,Galco Logistics
21960910,Katkenn Trading Solutions
21980952,Malvisign T/A J&K Imports & Exports
21742338,Unity Garage Doors
20651102,Royal Brides CC
21882366,MGO Clearing Agents
21754477,DG Global Forwarding Pty Ltd
21928484,Cargolink
25149627,Oldnate South Africa
21933894,Alpha International Trading
25305205,Vavisys Logistics Zambia Limited
25275408,Natural Diversity
21903629,Shiv-Dev 1
25265926,The Dunhill Whisky Distillery
25304225,P5 Investments
25090076,DG Africa Freight Services
25288509,A 2 Z Logistics And Projects
22015367,International Parts And Equipment Group (South Africa)
25274401,SB Mutasa
21977510,Mudikwa Investments
25039238,BIT 10GIC
25298066,FTG Export And Import
21925590,HJ Hauliers
25302011,Ruma Energies
25296195,Sikale Transport And Trading Company
22036451,Sky Classics Electronics Private Limited
25250989,The Matrix Clearing Agency
25010185,Mpynder Logistics
25301161,Zeramira
22038837,SIPS International Logistics
25221213,Score Logistics
25296152,Comfort Sleep
22031867,Zhijiang SA Logistic
25299925,Best Prospects 179
21988600,Halwick Investments (Pvt) Ltd
01736981,Amphora SA
25313452,OA Motormark BK
22000468,Texgold Investments Private Limited
21986500,Magaye Business Investments
25302354,Mashego Brothers Logistics
25314718,Logistics And Supplies
25043854,Rapture X INT DVSN
25205384,The King Fresh Market
22017947,Novas Management & Transport Limited
25239812,Jegede Trans
25303571,Springboard International Shipping
25320279,Nhlengethwa Transport
25243819,Camfreight
25279136,4PL International Clearing And Forwarding
25232486,Baobab Truck Park
25310283,Black Forest Holdings
25321268,J T L Vervoer BK
25316737,Funeka Freight Services
01551949,DSV Road
25312324,Ndingindi Trading
25147144,Vululwani Consulting
25103027,ETS GTS
25323163,4PL Fleet
25318802,Roeta Freight Solutions
25314459,Magna Customs Brokers
01644106,Value Logistics
21607339,Canoe Trading And General Services
25320296,Beyond Heavy Haulage
25310186,World Freight 93
21749970,Kellogg Tolaram South Africa
21966587,Stahl Burger Haulers
25327568,Vanlog Freight
21902079,Time Transport and Logistics(Pty) Ltd
25327924,Kargo Logistics
25315331,Pulego Enterprise
21644061,Wynka
25329005,Itnoa Transport And Trading
25156754,Continental SA Couriers
25274010,Zibuse Transport
20402664,Nungufreight International
22012600,Blue Stream Exports
20804130,Limpopo Bonded Warehouse 
21986489,Broad Fuels
21158667,Tshwele Pele Transport
25326642,Ava Safety And Corporate Solutions
22014069,King Carriers
21302434,Kamokgelo Trading Enterprise
25324029,Faithful Clearing And Forwarding
21428907,Manline Transport
25335780,Kwaggas Enterprises
25314319,Trechi Logistics Private Limited
25314368,Sightscore Investments Private Limited
21983528,Viva Freight Services
20289056,Virgo Global Logistics
21782419,Multiglobal Shipping
21914123,Shras Enterprises
25219074,Genesis Trucking
20915631,Vhembe Import And Export Services 
00053592,PCA Logistics
20886075,RCJ Express
25329463,Crosby Mokuene Logistics
21137521,US Transport
25288339,Swift Move Clearing Agent
25032195,Gulf Marine Contractors
22005435,DKN Transport
25298635,Raethan Cargo Specialist
25342190,Zimlowbeds
25259056,AA Spear Freight And Consultants
00721281,C Steinweg Logistics
25165337,Mashinini's Trading
21799698,VRST International South Africa
25236511,Ranthocha Group
25301595,Snthwala Projects
22016649,VRST Clearing South Africa
21629323,Arcoiris
25207972,Oceans Echo Logistics
01237254,Merlog Foods
25136283,LJ And G Logistics
25125754,PM Freight
20321175,Brand Five Distributors
21376970,Spicy Transport cc
22022257,Logistical Solutions Africa
25347427,Tauras Trans
25211057,Tgage Holdings
21985458,Mus Freight
25265322,MT2016 Enterprise
21982319,Phoenix Consolidated Trading
21691715,Giant Bee Logistics
00546617,Skyline Freight
21393970,Elbati Imports And Exports
25094721,Raster Import And Export
25345947,Top Hisheen Transport
25193958,Rapple Logistics And Engineering
25347850,AD Carriers
25347877,TCT Freight Forwarders
22023873,Biothermal SA
25314025,Pegton Enterprises
25288215,Trident Freight
25184097,KZN Cross Haul
25351903,Freightlux
25328580,Dolabrend Trading
25310461,NJK 1217 Holdings
25353043,SP Mdletshe
25230165,International Procurement And Logistics Services
25261327,Tecs Logistics Management
25171093,Enersys Global Operations
22022206,Northern Freight Logistics
25290677,Superior Abnormals
25317253,SGC Global
25356794,Maluti Media
21957481,Ambcon Logistics
25314688,H Mundoko Trading
01773123,RFG Foods
25297434,Velangene Trading
25359424,Emsee Trade
25356085,Gloria Deus
25326669,Onn Pulse Investments
21635187,Qabula Holdings
25055223,Spectrum Consultancy
25360097,Bloem Vantra BK
25181535,Wynne Holdings 212
25074897,Auto OB Holdings
25358932,Emathenjini Cleaning Agent
25330606,Naledi Import And Export
25027311,CRSS Shipping
25307372,Uni Global Projects
